OTU,Domain,,Phylum,,Class,,Order,,Family,,Genus,,A1.FF,A2.FF,A3.FF,A4.FF,A5.FF,A6.FF,B1.FF,B2.FF,B3.FF,B4.FF,B5.FF,B6.FF,C1.FF,C2.FF,C3.FF,C4.FF,C5.FF,C6.FF,D1.FF,D2.FF,D3.FF,D4.FF,D5.FF,D6.FF
Otu00001,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Mycena,100%,0,0,0,0,0,0,334,0,0,0,90,336,0,0,0,8,0,0,6,29,5,182,0,344
Otu00002,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Gymnopus,100%,0,0,0,0,0,0,3,0,0,0,0,0,0,620,0,0,572,0,0,0,0,0,0,0
Otu00013,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Infundibulicybe,100%,144,0,0,0,0,0,0,11,57,0,0,0,1,0,0,0,0,0,0,0,0,0,175,0
Otu00017,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Mycena,100%,25,0,10,4,15,0,30,0,5,59,0,4,1,2,1,2,0,0,21,10,0,71,51,7
Otu00052,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,17,27,15,6,12,9,1,2,0,0,0,0,9,0,0,0,4,0,0,3,0,0,0,0
Otu00057,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Entolomataceae,100%,Nolanea,100%,4,42,0,3,15,0,2,0,0,0,0,0,1,0,7,2,7,2,6,2,0,0,0,0
Otu00060,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Mycena,100%,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,51,0,33
Otu00063,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Psathyrellaceae,100%,Coprinellus,100%,0,1,0,0,0,0,0,4,4,0,18,2,1,3,14,3,4,18,0,0,0,5,2,10
Otu00065,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,2,0,0,0,0,0,3,9,10,0,9,15,4,1,5,11,0,13,0,1,1,0,5,0
Otu00088,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Marasmiaceae,100%,Marasmius,100%,0,0,0,1,0,0,0,2,1,0,23,2,10,1,0,0,0,0,2,0,3,2,6,9
Otu00093,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Entolomataceae,100%,Clitopilus,100%,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,35,0,0,0,0,2,5
Otu00095,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Gomphales,100%,Gomphaceae,100%,Ramaria,100%,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00100,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Strophariaceae,100%,Pholiota,100%,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu00109,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,0,0,1,0,7,0
Otu00117,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Ampulloclitocybe,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0
Otu00119,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Lycoperdaceae,100%,Lycoperdon,100%,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,20,15,0,0,0,0,0,0,0
Otu00126,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Cortinariaceae,100%,Cortinarius,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
Otu00127,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Clitocybe,100%,0,0,0,0,5,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Otu00155,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Mycena,100%,0,0,0,0,0,0,3,0,0,0,1,8,0,0,0,0,0,0,0,0,0,4,0,15
Otu00164,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Tricholomataceae,100%,Mycena,100%,0,0,0,0,0,0,11,0,0,0,2,3,0,0,0,1,0,0,0,0,0,2,0,10
Otu00182,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Agaricaceae,100%,Agaricus,100%,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
