Plot,Site,Treatment,HLT/Agaric,HLT/Seqs,SqrtRA:HLT/Agri,SqrtRA:hlt/seqs
A1.FF,A,A,0.6,0.111729452,0.774596669,0.334259558
A2.FF,A,A,0.456647399,0.045014245,0.675756908,0.212165608
A3.FF,A,A,0.636363636,0.101156069,0.797724035,0.31805042
A4.FF,A,N,0.686567164,0.07120743,0.828593485,0.266847204
A5.FF,A,N,0.528,0.072527473,0.726636085,0.269309251
A6.FF,A,N,0.983240223,0.267477204,0.991584703,0.517181983
B1.FF,B,A,0.635164835,0.244087838,0.796972293,0.494052465
B2.FF,B,A,0.751004016,0.070353649,0.866604879,0.265242624
B3.FF,B,A,0.788732394,0.13736713,0.888106072,0.370630719
B4.FF,B,N,0.601851852,0.073061072,0.775791114,0.270298116
B5.FF,B,N,0.503205128,0.095382746,0.709369529,0.308840972
B6.FF,B,N,0.85395189,0.241731518,0.924095174,0.491661995
C1.FF,C,A,0.913884007,0.325406758,0.955972807,0.570444352
C2.FF,C,A,0.943139679,0.555717407,0.971153787,0.745464558
C3.FF,C,A,0.651757188,0.291428571,0.807314801,0.539841247
C4.FF,C,N,0.919776119,0.419574468,0.959049592,0.647745682
C5.FF,C,N,0.944493392,0.626900585,0.971850499,0.791770538
C6.FF,C,N,0.716894977,0.109713487,0.846696508,0.331230263
D1.FF,D,A,0.861271676,0.208100559,0.928047238,0.456180401
D2.FF,D,A,0.481203008,0.119850187,0.693687976,0.346193858
D3.FF,D,A,0.851282051,0.485380117,0.922649474,0.696692268
D4.FF,D,N,0.869146006,0.246099844,0.932280004,0.496084513
D5.FF,D,N,0.945490585,0.445170322,0.972363402,0.667210853
D6.FF,D,N,0.943729904,0.307169021,0.971457618,0.554228312
