OTU,Domain,,Phylum,,Class,,Order,,Family,,Genus,,A1.FF,A2.FF,A3.FF,A4.FF,A5.FF,A6.FF,B1.FF,B2.FF,B3.FF,B4.FF,B5.FF,B6.FF,C1.FF,C2.FF,C3.FF,C4.FF,C5.FF,C6.FF,D1.FF,D2.FF,D3.FF,D4.FF,D5.FF,D6.FF
Otu00052,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,17,27,15,6,12,9,1,2,0,0,0,0,9,0,0,0,4,0,0,3,0,0,0,0
Otu00065,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,2,0,0,0,0,0,3,9,10,0,9,15,4,1,5,11,0,13,0,1,1,0,5,0
Otu00245,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,0,1,0,0,0,0,0,2,3,0,2,1,1,0,1,1,0,1,0,2,1,0,0,0
Otu00471,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Otu01084,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otu01115,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Otu01122,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otu01129,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Otu04903,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05162,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otu05218,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05259,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05431,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu05491,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,100%,Crepidotaceae,100%,Crepidotus,100%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
