OTU	Domain		Phylum		Class		Order		Family		Genus		A1.FF	A2.FF	A3.FF	A4.FF	A5.FF	A6.FF	B1.FF	B2.FF	B3.FF	B4.FF	B5.FF	B6.FF	C1.FF	C2.FF	C3.FF	C4.FF	C5.FF	C6.FF	D1.FF	D2.FF	D3.FF	D4.FF	D5.FF	D6.FF
Otu00001	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Mycena	100%	0	0	0	0	0	0	334	0	0	0	90	336	0	0	0	8	0	0	6	29	5	182	0	344
Otu00002	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Gymnopus	100%	0	0	0	0	0	0	3	0	0	0	0	0	0	620	0	0	572	0	0	0	0	0	0	0
Otu00003	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Clitocybe	99%	2	0	0	0	0	0	0	0	0	0	0	0	387	0	15	309	1	107	0	0	0	47	13	0
Otu00004	Fungi	100%	Ascomycota	100%	Pezizomycetes	11%	Pezizales	11%	Pezizales incertae sedis	11%	Phialea	11%	58	49	21	14	12	6	64	103	38	150	76	53	0	3	0	2	0	25	3	1	0	2	0	18
Otu00005	Fungi	100%	Ascomycota	100%	Sordariomycetes	99%	Xylariales	61%	Xylariales incertae sedis	34%	Subramaniomyces	15%	9	34	4	6	4	7	4	9	4	255	46	17	51	25	2	5	11	29	3	7	5	13	7	92
Otu00006	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Lepista	87%	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	107	415	102
Otu00007	Fungi	100%	Ascomycota	100%	Leotiomycetes	100%	Helotiales	100%	Helotiaceae	49%	Hymenoscyphus	19%	0	0	0	0	0	0	55	119	40	121	62	37	19	18	9	6	11	47	1	1	0	9	3	19
Otu00008	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Marasmiaceae	96%	Marasmius	89%	0	0	0	0	0	0	36	87	6	15	7	0	22	8	71	69	23	1	18	0	3	72	109	0
Otu00009	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Mycena	79%	0	0	0	0	0	0	19	54	76	19	5	12	13	24	7	0	0	0	17	9	5	112	112	23
Otu00010	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Cantharellales	100%	Ceratobasidiaceae	100%	uncultured_Ceratobasidiaceae	28%	0	0	0	0	0	0	0	0	0	7	0	0	1	39	0	185	4	1	7	18	2	219	0	0
Otu00011	Fungi	100%	Ascomycota	100%	Leotiomycetes	97%	Helotiales	95%	Vibrisseaceae	24%	Vibrissea	24%	13	11	14	7	15	11	69	72	15	77	37	45	7	16	3	1	6	12	3	4	0	4	1	4
Otu00012	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Atheliales	100%	Atheliaceae	100%	Fibulorhizoctonia	77%	180	12	0	0	18	0	10	5	5	0	1	11	64	4	1	9	2	45	0	0	1	9	2	35
Otu00013	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Infundibulicybe	100%	144	0	0	0	0	0	0	11	57	0	0	0	1	0	0	0	0	0	0	0	0	0	175	0
Otu00014	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	85%	Lepista	46%	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	9	355	0
Otu00015	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Cantharellales	100%	Ceratobasidiaceae	100%	Uthatobasidium	30%	0	0	0	0	0	0	0	152	0	0	2	0	58	1	0	6	0	2	68	6	0	28	34	0
Otu00016	Fungi	100%	Ascomycota	100%	Leotiomycetes	99%	Helotiales	94%	Sclerotiniaceae	51%	Mitrula	38%	20	13	0	7	9	5	37	74	28	64	39	8	7	5	1	2	3	10	4	0	0	0	0	1
Otu00017	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Mycena	100%	25	0	10	4	15	0	30	0	5	59	0	4	1	2	1	2	0	0	21	10	0	71	51	7
Otu00018	Fungi	100%	Ascomycota	100%	Sordariomycetes	100%	Diaporthales	100%	Diaporthales incertae sedis	75%	Harknessia	75%	91	24	0	4	0	1	11	10	19	25	57	4	37	1	1	2	11	6	0	2	0	0	1	10
Otu00019	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Tricholomataceae	100%	Mycena	99%	12	4	7	9	10	3	15	2	0	6	0	76	20	0	57	7	40	2	21	1	6	0	4	2
Otu00020	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Gomphales	100%	Gomphaceae	100%	Phaeoclavulina	52%	0	0	0	0	0	0	0	0	0	0	0	0	50	41	1	0	0	1	0	0	0	58	141	0
Otu00021	Fungi	100%	Ascomycota	100%	Leotiomycetes	93%	Helotiales	93%	Helotiaceae	37%	Chloroscypha	20%	9	60	59	1	0	6	0	0	0	0	0	3	0	0	0	0	4	2	132	0	0	0	0	9
