PLOT,SITE,TREATMENT,REPLICATE,CT,COPIES,cDNA.MASS,DILUTION,VOLUME,FF.WET.MASS,FF.MOISTURE
A1,A,Ambient,9,19.33,459800,3.33185,10,1,1.052,0.561659193
A1,A,Ambient,9,19.32,463200,3.33185,10,1,1.052,0.561659193
A2,A,Ambient,10,18.37,815600,3.39815,10,1,1.019,0.375174338
A2,A,Ambient,10,18.47,769300,3.39815,10,1,1.019,0.375174338
A3,A,Ambient,11,20.96,173400,3.55285,10,1,1.01,0.429324895
A3,A,Ambient,11,21,169700,3.55285,10,1,1.01,0.429324895
A4,A,N_dep,12,22.45,71180,2.8346,10,1,1.041,0.479744136
A4,A,N_dep,12,22.36,75100,2.8346,10,1,1.041,0.479744136
A5,A,N_dep,13,20.02,304200,4.4921,10,1,1.527,0.598890943
A5,A,N_dep,13,19.86,334900,4.4921,10,1,1.527,0.598890943
A6,A,N_dep,14,20.8,190900,3.4976,10,1,0.999,0.389793702
A6,A,N_dep,14,20.66,207900,3.4976,10,1,0.999,0.389793702
B1,B,Ambient,15,20.49,229500,3.9617,10,1,1.055,0.60359408
B1,B,Ambient,15,20.24,266900,3.9617,10,1,1.055,0.60359408
B2,B,Ambient,16,21.06,163500,3.66335,10,1,1.047,0.584615385
B2,B,Ambient,16,20.83,187800,3.66335,10,1,1.047,0.584615385
B3,B,Ambient,17,19.02,555100,4.50315,10,1,1.041,0.53633218
B3,B,Ambient,17,18.78,637800,4.50315,10,1,1.041,0.53633218
B4,B,N_dep,18,19,559400,4.0943,10,1,1.007,0.402209945
B4,B,N_dep,18,18.82,623400,4.0943,10,1,1.007,0.402209945
B5,B,N_dep,19,21.63,116300,3.99485,10,1,1.043,0.586
B5,B,N_dep,19,21.63,116200,3.99485,10,1,1.043,0.586
B6,B,N_dep,20,20.79,192000,3.7849,10,1,1.056,0.615234375
B6,B,N_dep,20,20.74,197300,3.7849,10,1,1.056,0.615234375
C1,C,Ambient,21,20.72,200500,4.30425,10,1,2.511,0.685863874
C1,C,Ambient,21,20.58,217500,4.30425,10,1,2.511,0.685863874
C2,C,Ambient,22,19.49,417800,4.32635,10,1,2.505,0.660618997
C2,C,Ambient,22,19.58,395300,4.32635,10,1,2.505,0.660618997
C3,C,Ambient,23,19.95,318000,3.2987,10,1,2.515,0.683673469
C3,C,Ambient,23,20.03,302500,3.2987,10,1,2.515,0.683673469
C4,C,N_dep,24,20.23,269200,3.8291,10,1,2.519,0.72972973
C4,C,N_dep,24,20.42,239300,3.8291,10,1,2.519,0.72972973
C5,C,N_dep,25,20.11,287700,3.86225,10,1,2.517,0.638489209
C5,C,N_dep,25,20.26,263900,3.86225,10,1,2.517,0.638489209
C6,C,N_dep,26,20.25,264600,3.7186,10,1,2.491,0.680808081
C6,C,N_dep,26,20.35,249900,3.7186,10,1,2.491,0.680808081
D1,D,Ambient,27,21.82,103500,4.12745,10,1,2.515,0.46201232
D1,D,Ambient,27,21.87,100500,4.12745,10,1,2.515,0.46201232
D2,D,Ambient,28,20.62,212100,3.72965,10,1,2.506,0.576964478
D2,D,Ambient,28,20.86,183700,3.72965,10,1,2.506,0.576964478
D3,D,Ambient,29,20.88,182500,4.2932,10,1,2.497,0.471599402
D3,D,Ambient,29,20.8,190900,4.2932,10,1,2.497,0.471599402
D4,D,N_dep,30,21.57,120200,4.14955,10,1,2.526,0.666971638
D4,D,N_dep,30,21.65,115000,4.14955,10,1,2.526,0.666971638
D5,D,N_dep,31,22.91,53970,4.0059,10,1,2.506,0.535779817
D5,D,N_dep,31,22.93,53360,4.0059,10,1,2.506,0.535779817
D6,D,N_dep,32,23.14,47100,3.95065,10,1,2.525,0.593012276
D6,D,N_dep,32,23.18,46020,3.95065,10,1,2.525,0.593012276
